model,lead_day,n_idx30,rmse_idx30,rmse_idx90,rmse_reg_macro
persistence_recursive,582,8,1.280524649184106,1.4329231795000443,1.356723914342075
persistence_recursive,583,8,1.2699828427176836,1.4144883537849755,1.3422355982513294
persistence_recursive,584,8,1.2483176650667789,1.400166439447683,1.324242052257231
persistence_recursive,585,8,1.1139648635721846,1.3668940258907993,1.2404294447314919
persistence_recursive,586,8,1.059999611753484,1.318864014028198,1.189431812890841
persistence_recursive,587,8,0.9634635225565026,1.2957478752241867,1.1296056988903447
persistence_recursive,588,8,0.9120199375022502,1.2612786932340236,1.086649315368137
persistence_recursive,589,8,0.8888527880669952,1.2580606677905652,1.07345672792878
persistence_recursive,590,8,0.7734225731935886,1.278150960482672,1.0257867668381304
persistence_recursive,591,8,0.6504137925912302,1.2878509189180676,0.969132355754649
persistence_recursive,592,8,0.6452280088023393,1.3413311376106183,0.9932795732064787
persistence_recursive,593,8,0.7436481348888095,1.3670943933440811,1.0553712641164452
persistence_recursive,594,8,0.7182805665819947,1.3751391033357196,1.046709834958857
persistence_recursive,595,8,0.7590731482112026,1.3865446602492957,1.072808904230249
persistence_recursive,596,8,0.8113612731686877,1.4000559996541377,1.1057086364114128
persistence_recursive,597,8,0.8197177919900369,1.414929109182823,1.11732345058643
persistence_recursive,598,8,0.8503571918314895,1.4087292586207238,1.1295432252261066
persistence_recursive,599,8,0.7812871292338044,1.3650731835549217,1.073180156394363
persistence_recursive,600,8,0.7484832331027877,1.357536161196632,1.0530096971497098
persistence_recursive,601,8,0.7339337169595556,1.3570837778069067,1.0455087473832312
persistence_recursive,602,8,0.7338065407048536,1.3666480705931856,1.0502273056490197
persistence_recursive,603,8,0.7277814906875201,1.3874566888000648,1.0576190897437925
persistence_recursive,604,8,0.711861879130683,1.4152931200172505,1.0635774995739666
persistence_recursive,605,8,0.7583040487968891,1.4555417476183135,1.1069228982076011
persistence_recursive,606,8,0.7304085764262112,1.5020239220995855,1.1162162492628984
persistence_recursive,607,8,0.7692961388312521,1.4864570021540109,1.1278765704926315
persistence_recursive,608,8,0.7620959581144378,1.4597077331854913,1.1109018456499644
persistence_recursive,609,8,0.7717818045766835,1.4546860510186337,1.1132339277976586
persistence_recursive,610,8,0.7242751140458388,1.4564283817618315,1.0903517479038352
persistence_recursive,611,8,0.7552645451126085,1.4672991054513624,1.1112818252819854
persistence_recursive,612,8,0.8060235232314249,1.4922846770654257,1.1491541001484253
persistence_recursive,613,8,0.8361082260038293,1.5068200049238412,1.1714641154638352
persistence_recursive,614,8,0.8398935665231823,1.5175094704013143,1.1787015184622482
persistence_recursive,615,8,0.8375687916878499,1.5059290619770624,1.1717489268324561
persistence_recursive,616,8,0.8273849626323131,1.4876206353443286,1.1575027989883209
persistence_recursive,617,8,0.759981120993176,1.4580051732426536,1.1089931471179149
persistence_recursive,618,8,0.7452898850397118,1.4798455295085424,1.1125677072741271
persistence_recursive,619,8,0.6689545921785285,1.4737267751853433,1.071340683681936
persistence_recursive,620,8,0.650253879723162,1.4393504622030002,1.044802170963081
persistence_recursive,621,8,0.6439659285323867,1.384668482788527,1.0143172056604568
persistence_recursive,622,8,0.6601301543176207,1.3757155327187731,1.0179228435181968
persistence_recursive,623,8,0.6001699965988228,1.3593377356087604,0.9797538661037916
persistence_recursive,624,8,0.5415623370540473,1.3429879752821356,0.9422751561680915
persistence_recursive,625,8,0.47158233575256037,1.329845546589568,0.9007139411710642
persistence_recursive,626,8,0.4392813786395976,1.3190267847226878,0.8791540816811427
persistence_recursive,627,8,0.3933866685722438,1.2765012864768959,0.8349439775245698
persistence_recursive,628,8,0.3782827881244093,1.2282308951946883,0.8032568416595488
persistence_recursive,629,8,0.35827611730308506,1.2013374984399714,0.7798068078715282
persistence_recursive,630,8,0.3639203014021172,1.1649509783411087,0.764435639871613
persistence_recursive,631,8,0.36565884098795637,1.1165274512598116,0.741093146123884
persistence_recursive,632,8,0.35395133456197175,1.0569188203678914,0.7054350774649316
persistence_recursive,633,8,0.36258078091483925,0.9963852248134706,0.679483002864155
persistence_recursive,634,8,0.3455204005869087,0.9877660335250802,0.6666432170559944
persistence_recursive,635,8,0.3186995651458596,0.9768332067023636,0.6477663859241116
persistence_recursive,636,8,0.38954973498736095,0.9581080215113403,0.6738288782493507
persistence_recursive,637,8,0.4863539896555978,0.9525879044964272,0.7194709470760124
persistence_recursive,638,8,0.5284800958300289,0.8963014983646066,0.7123907970973178
persistence_recursive,639,8,0.6150084912229725,0.840095137614945,0.7275518144189588
persistence_recursive,640,8,0.7058829997077171,0.8467190210040455,0.7763010103558813
persistence_recursive,641,8,0.7470689283573118,0.8453550310191182,0.796211979688215
persistence_recursive,642,8,0.7704089654629325,0.8407048809198056,0.8055569231913691
persistence_recursive,643,8,0.7965331608745032,0.840022855419911,0.8182780081472071
persistence_recursive,644,8,0.794817359086107,0.8207791600158979,0.8077982595510025
persistence_recursive,645,8,0.7851444327480912,0.7779124196949959,0.7815284262215436
persistence_recursive,646,8,0.6809748710226496,0.8018172523706468,0.7413960616966482
persistence_recursive,647,8,0.5931600314947246,0.7791697223567814,0.686164876925753
persistence_recursive,648,8,0.6158341054644364,0.7558760359361363,0.6858550707002864
persistence_recursive,649,8,0.6095090675627763,0.7450359923115281,0.6772725299371523
persistence_recursive,650,8,0.6012890297203436,0.6710535600828108,0.6361712949015772
persistence_recursive,651,8,0.5843651814036336,0.6044960037897195,0.5944305925966765
persistence_recursive,652,8,0.5977663061944709,0.5747008019421058,0.5862335540682884
persistence_recursive,653,8,0.6315517803170732,0.5747332835966386,0.6031425319568559
persistence_recursive,654,8,0.6745056360786782,0.5406906118129128,0.6075981239457955
persistence_recursive,655,8,0.6949470701435334,0.531904756976662,0.6134259135600977
persistence_recursive,656,8,0.7132601570431975,0.5248165901672175,0.6190383736052074
persistence_recursive,657,8,0.7053841580299531,0.5130769886396831,0.6092305733348181
persistence_recursive,658,8,0.7011679126623598,0.5198330539377246,0.6105004833000423
persistence_recursive,659,8,0.6808773217163167,0.45033395271392934,0.565605637215123
persistence_recursive,660,8,0.6604157635407905,0.4411135817910524,0.5507646726659214
persistence_recursive,661,8,0.6488786039604381,0.44279078308956327,0.5458346935250007
persistence_recursive,662,8,0.6325955718033723,0.4518886643877432,0.5422421180955578
persistence_recursive,663,8,0.6227119976443265,0.4531900973722788,0.5379510475083027
persistence_recursive,664,8,0.6107810480741102,0.4504284487539194,0.5306047484140148
persistence_recursive,665,8,0.5891798035706678,0.45365237380625145,0.5214160886884596
persistence_recursive,666,8,0.5654066554956214,0.4486485229137777,0.5070275892046996
persistence_recursive,667,8,0.5408765921957857,0.42945518806496924,0.4851658901303775
persistence_recursive,668,8,0.529188392864453,0.4153738336521007,0.4722811132582768
persistence_recursive,669,8,0.5201077203379031,0.39599752026077617,0.45805262029933963
persistence_recursive,670,8,0.5923206153591335,0.3611274272807302,0.47672402131993186
persistence_recursive,671,8,0.6124883597415006,0.35977593600609237,0.4861321478737965
persistence_recursive,672,8,0.6102507839190567,0.3616808034022523,0.4859657936606545
persistence_recursive,673,8,0.6154577538396511,0.36465298501498244,0.49005536942731676
persistence_recursive,674,8,0.6337901134905167,0.36105042642898805,0.4974202699597524
persistence_recursive,675,8,0.6284570900376607,0.353102488649846,0.4907797893437533
persistence_recursive,676,8,0.6781600799985896,0.34271837572237374,0.5104392278604817
persistence_recursive,677,8,0.7529212541161966,0.3094423150075752,0.5311817845618859
persistence_recursive,678,8,0.7575923678877093,0.2970123918049955,0.5273023798463524
persistence_recursive,679,8,0.7582132275216613,0.2814823440207867,0.519847785771224
persistence_recursive,680,8,0.7527862388198023,0.2760987284236808,0.5144424836217416
persistence_recursive,681,8,0.7330426195211331,0.27677375477083227,0.5049081871459827
persistence_recursive,682,8,0.7269514340603435,0.28356176065920546,0.5052565973597745
persistence_recursive,683,8,0.7115875628524847,0.2717130218976074,0.49165029237504604
persistence_recursive,684,8,0.7197821849061321,0.26086701097671827,0.4903245979414252
persistence_recursive,685,8,0.7056089824894712,0.24554608817995194,0.4755775353347116
persistence_recursive,686,8,0.6981572888369126,0.24184464815849605,0.47000096849770434
persistence_recursive,687,8,0.6937666439536356,0.23335828116785148,0.46356246256074357
persistence_recursive,688,8,0.6875706454537311,0.2274337655332513,0.4575022054934912
persistence_recursive,689,8,0.7066442558688756,0.22092290137876566,0.46378357862382064
persistence_recursive,690,8,0.713641367143259,0.22489708284575355,0.4692692249945063
persistence_recursive,691,8,0.7201630787811832,0.22297942947103785,0.47157125412611056
persistence_recursive,692,8,0.7262666982011401,0.22124201991187858,0.4737543590565093
persistence_recursive,693,8,0.7236706340881767,0.24165129796755597,0.48266096602786634
persistence_recursive,694,8,0.7332164382479202,0.2721202008666569,0.5026683195572885
persistence_recursive,695,8,0.7365356160104128,0.2781565389021998,0.5073460774563063
persistence_recursive,696,8,0.7410320916877731,0.3097152518313637,0.5253736717595684
persistence_recursive,697,8,0.761773552583823,0.34982755586685693,0.5558005542253399
persistence_recursive,698,8,0.7591147576667071,0.3591629064232316,0.5591388320449694
persistence_recursive,699,8,0.7622357183712659,0.391120318107906,0.576678018239586
persistence_recursive,700,8,0.7539777922965372,0.45529878231318544,0.6046382873048612
persistence_recursive,701,8,0.7562477594823119,0.4800758641456733,0.6181618118139927
persistence_recursive,702,8,0.7639754239605361,0.48719389125951207,0.6255846576100241
persistence_recursive,703,8,0.7747248627407306,0.49763730053958805,0.6361810816401593
persistence_recursive,704,8,0.7715578239773477,0.49997464666405667,0.6357662353207022
