model,recall,precision
元学习全候选,1.0,0.014016265789929053
元学习全候选,1.0,0.014018691588785047
元学习全候选,1.0,0.014021118227453696
元学习全候选,1.0,0.01402354570637119
元学习全候选,1.0,0.014025974025974027
元学习全候选,1.0,0.014028403186698995
元学习全候选,1.0,0.014030833188983198
元学习全候选,1.0,0.014033264033264034
元学习全候选,1.0,0.014035695719979206
元学习全候选,1.0,0.014038128249566724
元学习全候选,1.0,0.014040561622464899
元学习全候选,1.0,0.014042995839112345
元学习全候选,1.0,0.01404543089994798
元学习全候选,1.0,0.01404786680541103
元学习全候选,1.0,0.014050303555941024
元学习全候选,1.0,0.014052741151977794
元学习全候选,1.0,0.014055179593961478
元学习全候选,1.0,0.014057618882332524
元学习全候选,1.0,0.014060059017531679
元学习全候选,1.0,0.0140625
元学习全候选,1.0,0.01406494183017885
元学习全候选,1.0,0.0140673845085099
元学习全候选,1.0,0.014069828035435123
元学习全候选,1.0,0.014072272411396804
元学习全候选,1.0,0.014074717636837533
元学习全候选,1.0,0.014077163712200209
元学习全候选,1.0,0.014079610637928038
元学习全候选,1.0,0.014082058414464534
元学习全候选,1.0,0.014084507042253521
元学习全候选,1.0,0.01408695652173913
元学习全候选,1.0,0.014089406853365802
元学习全候选,1.0,0.014091858037578288
元学习全候选,1.0,0.014094310074821646
元学习全候选,1.0,0.014096762965541246
元学习全候选,1.0,0.014099216710182768
元学习全候选,1.0,0.014101671309192201
元学习全候选,1.0,0.014104126763015845
元学习全候选,1.0,0.014106583072100314
元学习全候选,1.0,0.014109040236892528
元学习全候选,1.0,0.014111498257839722
元学习全候选,1.0,0.014113957135389441
元学习全候选,1.0,0.014116416869989544
元学习全候选,1.0,0.0141188774620882
元学习全候选,1.0,0.014121338912133892
元学习全候选,1.0,0.014123801220575414
元学习全候选,1.0,0.014126264387861876
元学习全候选,1.0,0.0141287284144427
元学习全候选,1.0,0.014131193300767621
元学习全候选,1.0,0.014133659047286687
元学习全候选,1.0,0.014136125654450262
元学习全候选,1.0,0.014138593122709025
元学习全候选,1.0,0.014141061452513967
元学习全候选,1.0,0.014143530644316397
元学习全候选,1.0,0.014146000698567935
元学习全候选,1.0,0.014148471615720524
元学习全候选,1.0,0.014150943396226415
元学习全候选,1.0,0.014153416040538179
元学习全候选,1.0,0.014155889549108703
元学习全候选,1.0,0.01415836392239119
元学习全候选,1.0,0.014160839160839161
元学习全候选,1.0,0.014163315264906452
元学习全候选,1.0,0.01416579223504722
元学习全候选,1.0,0.014168270071715935
元学习全候选,1.0,0.01417074877536739
元学习全候选,1.0,0.014173228346456693
元学习全候选,1.0,0.014175708785439271
元学习全候选,1.0,0.014178190092770873
元学习全候选,1.0,0.014180672268907563
元学习全候选,1.0,0.014183155314305727
元学习全候选,1.0,0.014185639229422066
元学习全候选,1.0,0.01418812401471361
元学习全候选,1.0,0.014190609670637701
元学习全候选,1.0,0.014193096197652006
元学习全候选,1.0,0.014195583596214511
元学习全候选,1.0,0.014198071866783523
元学习全候选,1.0,0.014200561009817671
元学习全候选,1.0,0.014203051025775907
元学习全候选,1.0,0.014205541915117503
元学习全候选,1.0,0.014208033678302052
元学习全候选,1.0,0.014210526315789474
元学习全候选,1.0,0.014213019828040007
元学习全候选,1.0,0.014215514215514216
元学习全候选,1.0,0.014218009478672985
元学习全候选,1.0,0.014220505617977528
元学习全候选,1.0,0.014223002633889377
元学习全候选,1.0,0.01422550052687039
元学习全候选,1.0,0.01422799929738275
元学习全候选,1.0,0.014230498945888967
元学习全候选,1.0,0.014232999472851872
元学习全候选,1.0,0.014235500878734621
元学习全候选,1.0,0.014238003164000703
元学习全候选,1.0,0.014240506329113924
元学习全候选,1.0,0.014243010374538422
元学习全候选,1.0,0.014245515300738656
元学习全候选,1.0,0.01424802110817942
元学习全候选,1.0,0.014250527797325828
元学习全候选,1.0,0.014253035368643321
元学习全候选,1.0,0.014255543822597676
元学习全候选,1.0,0.01425805315965499
元学习全候选,1.0,0.01426056338028169
元学习全候选,1.0,0.014263074484944533
元学习全候选,1.0,0.014265586474110602
元学习全候选,1.0,0.014268099348247314
元学习全候选,1.0,0.01427061310782241
元学习全候选,1.0,0.014273127753303964
元学习全候选,1.0,0.01427564328516038
元学习全候选,1.0,0.014278159703860392
元学习全候选,1.0,0.014280677009873061
元学习全候选,1.0,0.014283195203667784
元学习全候选,1.0,0.014285714285714285
元学习全候选,1.0,0.014288234256482625
元学习全候选,1.0,0.01429075511644319
元学习全候选,1.0,0.014293276866066702
元学习全候选,1.0,0.014295799505824214
元学习全候选,1.0,0.014298323036187114
元学习全候选,1.0,0.014300847457627119
元学习全候选,1.0,0.01430337277061628
元学习全候选,1.0,0.014305898975626986
元学习全候选,1.0,0.014308426073131956
元学习全候选,1.0,0.01431095406360424
元学习全候选,1.0,0.014313482947517229
元学习全候选,1.0,0.014316012725344645
元学习全候选,1.0,0.014318543397560545
元学习全候选,1.0,0.014321074964639321
元学习全候选,1.0,0.014323607427055704
元学习全候选,1.0,0.014326140785284755
元学习全候选,1.0,0.014328675039801874
元学习全候选,1.0,0.014331210191082803
元学习全候选,1.0,0.01433374623960361
元学习全候选,1.0,0.014336283185840707
元学习全候选,1.0,0.014338821030270845
元学习全候选,1.0,0.014341359773371105
元学习全候选,1.0,0.014343899415618913
元学习全候选,1.0,0.014346439957492029
元学习全候选,1.0,0.014348981399468556
元学习全候选,1.0,0.014351523742026931
元学习全候选,1.0,0.014354066985645933
元学习全候选,1.0,0.01435661113080468
元学习全候选,1.0,0.014359156177982627
元学习全候选,1.0,0.014361702127659574
元学习全候选,1.0,0.014364248980315658
元学习全候选,1.0,0.014366796736431358
元学习全候选,1.0,0.014369345396487493
元学习全候选,1.0,0.014371894960965224
元学习全候选,1.0,0.014374445430346052
元学习全候选,1.0,0.01437699680511182
元学习全候选,1.0,0.014379549085744719
元学习全候选,1.0,0.014382102272727272
元学习全候选,1.0,0.014384656366542355
元学习全候选,1.0,0.014387211367673179
元学习全候选,1.0,0.014389767276603304
元学习全候选,1.0,0.014392324093816631
元学习全候选,1.0,0.014394881819797405
元学习全候选,1.0,0.014397440455030218
元学习全候选,1.0,0.0144
元学习全候选,1.0,0.014402560455192033
元学习全候选,1.0,0.014405121821091944
元学习全候选,1.0,0.0144076840981857
元学习全候选,1.0,0.014410247286959615
元学习全候选,1.0,0.014412811387900355
元学习全候选,1.0,0.014415376401494928
元学习全候选,1.0,0.014417942328230687
元学习全候选,1.0,0.014420509168595335
元学习全候选,1.0,0.014423076923076924
元学习全候选,1.0,0.014425645592163847
