station,date,idx30_obs,pred_stack,pred_meta,pred_gru,pred_ridge
金江街,2022-12-18,-0.37691038650619313,-0.3830219237799677,-0.3574294533493491,-0.3871345589584633,-0.3584068671758606
金江街,2022-12-19,-0.3540492849455552,-0.3679541036826956,-0.33386817659190465,-0.37224558908949684,-0.33574257209778063
金江街,2022-12-20,-0.31246334209101456,-0.318455952570096,-0.29250423833539346,-0.32360325383039723,-0.29512608889431413
金江街,2022-12-21,-0.27880910709625817,-0.29049100091647184,-0.2580397755971069,-0.2963659014709832,-0.26276687082814315
金江街,2022-12-22,-0.2559118555890427,-0.2726641207339837,-0.234010404519098,-0.2792156901160984,-0.23621397823309498
金江街,2022-12-23,-0.24204367651450487,-0.2612191604306242,-0.220906034044866,-0.268401276294709,-0.22600629288700191
金江街,2022-12-24,-0.22959068771312743,-0.25165931002617387,-0.2102815113221654,-0.2596169283156479,-0.2148680877337672
金江街,2022-12-25,-0.2129779767954505,-0.23137635557918937,-0.19438813388579065,-0.2394998837220037,-0.19865424309856575
金江街,2022-12-26,-0.17628541002227496,-0.17725714017491986,-0.15755945573740623,-0.18527762019415675,-0.1691710233684446
金江街,2022-12-27,-0.1299310280322789,-0.13164779433760218,-0.11274835444088419,-0.14117373561728658,-0.12535691711949704
金江街,2022-12-28,-0.09823638429188022,-0.10041324622269188,-0.07662653685504248,-0.11187346192222614,-0.1000629211862158
金江街,2022-12-29,-0.07760887752156369,-0.08602475871140203,-0.057262015133308294,-0.0983971150272584,-0.07944857738905779
金江街,2022-12-30,-0.040242665546242645,-0.039962611049393554,-0.021525038288784874,-0.05351313137230914,-0.03817248750949745
金江街,2022-12-31,-0.013983582161399043,-0.009353881059832479,0.011165444843568286,-0.02381721350361969,-0.008994226376583397
金江街,2023-01-01,0.0008132988930041403,-0.004799314268414469,0.02151923065879062,-0.018790833146825774,-0.0023028987188608826
金江街,2023-01-02,0.017272583948041938,0.005089654984638466,0.031186030220154273,-0.008752392917001231,0.012276848870005947
金江街,2023-01-03,0.03748601912430153,0.023317844464772763,0.05088617436770291,0.009106152785963632,0.036173980853875215
金江街,2023-01-04,0.04131554279076141,0.021717033268263228,0.053247729729391784,0.007883084230886395,0.03652802328017785
金江街,2023-01-05,0.04459131264193922,0.02609734091911058,0.0575959554156426,0.010501536457390711,0.03816796352908408
金江街,2023-01-06,0.069536667865073,0.053752994238252555,0.07865059472900282,0.03812971373955064,0.07149369924020886
金江街,2023-01-07,0.07490358450279651,0.055749492273044744,0.08395059834984696,0.040157486820488995,0.06675079953745452
金江街,2023-01-08,0.07605847586875543,0.05290397504958536,0.08375423706367545,0.03696775117098734,0.0670214270008211
金江街,2023-01-09,0.07782885865888349,0.05441954968794445,0.08214162445295572,0.03884568969810523,0.06722410265574007
金江街,2023-01-10,0.0813132697965584,0.05775339540773108,0.08240348896744963,0.04217110265633914,0.0682172764343309
金江街,2023-01-11,0.07864472555664179,0.05428938168449426,0.07943189954729504,0.04020861391549975,0.07023278435482332
金江街,2023-01-12,0.07460206783015196,0.05056355538634187,0.07407203927229636,0.036122100634977415,0.05947765214225593
金江街,2023-01-13,0.05008498782078689,0.031058164253018883,0.0630587117054533,0.016850131532010607,0.05269402043374847
金江街,2023-01-14,0.045545913863616415,0.02542263837554717,0.049196312763999155,0.011825790731162005,0.031250598536065086
金江街,2023-01-15,0.053387102168131285,0.03271528351748616,0.05409696038634251,0.019250057257254347,0.035187781818671576
金江街,2023-01-16,-0.04007995739691475,-0.04304586314320262,0.01763626302112573,-0.053785509941462355,0.028494764269665646
金江街,2023-01-17,-0.07959814853501629,-0.09318515641176914,-0.05399706726429043,-0.10414140238193308,-0.06562617934292372
金江街,2023-01-18,-0.09951775595122186,-0.1158924203610787,-0.0842979012879865,-0.12617738437991494,-0.10058936591316062
金江街,2023-01-19,-0.13777935060888624,-0.15368540130239447,-0.11271893437968142,-0.16238470193176918,-0.12073962215723205
金江街,2023-01-20,-0.16981934802611254,-0.18864345327430793,-0.15143850997999858,-0.19601123087141056,-0.16465410535143854
金江街,2023-01-21,-0.1965689580644414,-0.2223142347347597,-0.18732334210940776,-0.22800605569529447,-0.2023564220486593
金江街,2023-01-22,-0.21293814655874518,-0.24492975112876736,-0.21421599374669426,-0.2496105756153748,-0.22757899364167877
金江街,2023-01-23,-0.22827915399860574,-0.2646061848587691,-0.2327287286422257,-0.26858092787651006,-0.2467936399999237
金江街,2023-01-24,-0.2367382118179872,-0.27000107466943946,-0.2386737179478395,-0.2739336724292658,-0.2434531682739191
金江街,2023-01-25,-0.27500582404680807,-0.2979615446794403,-0.26242362441421124,-0.30070398409956334,-0.2740747106444845
