obs,pred
-0.9800187622262905,-0.9957425049995586
-0.9782818433645419,-0.974943938937699
-0.9763537868542226,-0.9724111870155812
-0.9707254954180301,-0.9678944619170091
-0.9470281072853768,-0.9493943557589726
-0.9233669878183371,-0.9279334561931522
-0.894785261090963,-0.8933926274347146
-0.8737621973313099,-0.8641540876385714
-0.8219584928524635,-0.8127029193382536
-0.7963236100460984,-0.7988776720352464
-0.7407097368136919,-0.7347823327653418
-0.6828406174067043,-0.6844179778835591
-0.6528895853137302,-0.6559496871954453
-0.6413835737459126,-0.6331405548929825
-0.5902575175267197,-0.5904611206741104
-0.5526083869577969,-0.5387848610808172
-0.5157569295943072,-0.48208767664144875
-0.4802763506236494,-0.4698070530410147
-0.4576158545547335,-0.44851565457938514
-0.43622781879749106,-0.44077342230166233
-0.3930310663775958,-0.41287756512721097
-0.18530967433397919,-0.2008190253674258
-0.09162776299284547,-0.12115510910480087
-0.044701481724850695,-0.07116368039604488
0.00034783653521717626,-0.011570962774187414
0.12207593323350681,0.12977404654933505
0.1644717773542277,0.16266399806764004
0.211004134019636,0.21287112442561784
0.23070925323680286,0.25416872842055205
0.22720089795347825,0.24482887923039232
0.23608413888984334,0.2434574814417762
0.24165485159339162,0.2396051377505423
0.23932368459504588,0.2253307466531528
0.23584238241213623,0.21668273264749396
0.2237572000253418,0.2107993585217611
0.21638887335269597,0.19714934051644986
0.19300444343981807,0.17955020796537607
0.1614159938774608,0.15435972019193814
0.10442376295293053,0.11680995745646493
0.10529843287339538,0.08871707862120214
0.088409447918184,0.09221261224859775
0.06753078360646707,0.06893220989134735
0.06921436052118249,0.04406028610218415
0.08462961187841889,0.04737284772472986
0.05417430954851364,0.040214735365813103
0.02822284759176339,0.0185076626031354
-0.04231174914187117,-0.020134385756456097
-0.08438580531448561,-0.07858479994018068
-0.09907304928082426,-0.11027847908840877
-0.09851400875845343,-0.1254551571221009
-0.1350949944773118,-0.16040032807856724
-0.32102610098867346,-0.1822388580592309
-0.3725999950928484,-0.33842229818693625
-0.392293286926016,-0.38107496126310475
-0.44568319644992743,-0.4218664363261945
-0.5931661339180148,-0.49201211320662014
-0.6556615560941526,-0.6474137291202491
-0.714713473260588,-0.705885941232044
-0.7410955143224067,-0.7264424985382443
-0.762429028362192,-0.7842501214843873
-0.7836386590875153,-0.8015753840584134
-0.8107099235150346,-0.8301444672084133
-0.8282359993390964,-0.8590450732675026
-0.838611093366364,-0.8723319297405292
-0.8616047744108786,-0.9002149355792924
-0.8778549767509711,-0.9084120695246619
-0.9012867310397256,-0.9496684780139726
-0.9231168468086859,-0.9702404687949022
-0.937909298101076,-0.9848505082878952
-0.9472256557619122,-0.9687910280797462
-0.987363790288047,-0.9977441079529155
-1.0066501726240242,-1.005023246949481
-1.0306209706974592,-1.0150817173067248
-1.081483173858299,-1.0475351092485037
-1.1040617537921131,-1.0670533498625299
-1.092374695693817,-1.0470031292464876
-1.0628430979563712,-1.0505721796371612
-1.037190644732622,-1.0193230736004149
-1.0296353652574377,-1.0070710316079892
-1.0479125170651538,-1.014587964834423
-1.005587755967465,-0.9866140795733112
-0.9799268736921329,-0.9579386241667153
-1.0000605537907499,-0.9523046935762951
-1.0336268179795491,-0.9829179404541933
-1.0261710250568508,-0.9844605756129072
-1.0151018995429093,-0.9887787431231347
-1.000611053962441,-0.9945273563026976
-0.9877991923539684,-0.9924346958484381
-1.0029624031969713,-1.0063543247853668
-0.9795149779954145,-1.0033003962935434
-0.9678519605019853,-0.9896947792078381
-0.9577600113764825,-0.976806403180419
-0.9326822176483277,-0.94519538216127
-0.9376293586132933,-0.958098419989682
-0.9560043942665042,-0.9858149817394416
-0.9435380050538956,-0.9520837574495931
-0.8552578172879637,-0.887478519918439
-0.8410093959797822,-0.8960088981989254
-0.8394218256657988,-0.8867648997907625
-0.8769442830229048,-0.8843217213815928
-0.9058816326237535,-0.9120141831669674
-0.9393519124716401,-0.9182779776048985
-0.96995756133121,-0.9562551288713375
-0.9908817914930773,-0.9915787909556609
-1.0105358466847216,-1.0027525079406527
-1.071465899006679,-1.0356049145637027
-1.1270089563338852,-1.0997902428631827
-1.1840124952466307,-1.1637162887872103
-1.2293355056080808,-1.2109156535186367
-1.2374043636346423,-1.232334229747988
-1.2801320571418027,-1.2453038095962903
-1.2500132750504245,-1.2033835242555464
-1.2073292701486518,-1.1902467880040215
-1.1850267119744198,-1.1909014047706175
-1.2136664923105835,-1.2025239984321598
-1.2450983069443176,-1.2338412491957877
-1.2936651962557983,-1.2856042924046744
-1.3315358565466051,-1.3072858312996056
-1.365843283679521,-1.3454014089624633
-1.4254056927023877,-1.3938457802284
-1.4503355031516953,-1.43271249323443
-1.439772951765985,-1.4392670899519724
-1.483123564057028,-1.4902121590002049
-1.481808157133944,-1.5011623280396942
-1.4942154836259545,-1.557449991163072
-1.5548708200977297,-1.5589153402291027
-1.6655772712738008,-1.5938626629681034
